"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"true_peak_wait[1683]",1.6872067346375,1.57801,0.804070156080159,0.854229642,0.54491855,3.167308,1.00053600413275,10269.9439464338,5052.10285261761
"true_peak_wait[1684]",1.9871506596625,2.06215,0.554484250918135,0.564433233,0.9244786,2.7626265,1.00048849291424,6357.39056625008,5172.21529768405
"true_peak_wait[1685]",1.9001900825,1.965095,0.545614212705087,0.569659398,0.9156295,2.70564,1.00064591088583,8452.5784685262,5769.6627578448
"true_peak_wait[1686]",1.743237662425,1.609795,0.82105620070327,0.87302901,0.5906828,3.23718,1.00032346288566,11596.9493832954,5309.05159519714
"true_peak_wait[1687]",1.15680276325138,1.084245,0.682833092575987,0.779195256,0.16663765,2.3591295,1.00020306010659,9138.05313885257,5052.21562516415
"true_peak_wait[1688]",2.341112655125,2.36182,0.703305425355977,0.772108428,1.137829,3.440169,1.00036130566389,8958.77457348783,4420.26096444119
"true_peak_wait[1689]",1.897267970125,1.87083,0.601534172806963,0.645183042,0.9647356,2.923876,0.999865987877514,8426.3243347692,4594.95691459596
"true_peak_wait[1690]",6.30692307375,6.248255,0.232472038752008,0.184294593,6.050908,6.7683415,1.00309004018963,2682.74356080702,5260.30995050948
"true_peak_wait[1691]",2.22841251625,2.17481,0.481951642148984,0.443794071,1.5169285,3.104292,1.00003869132439,7540.96685950442,5708.41116271142
"true_peak_wait[1692]",2.280285635625,2.28963,0.689694847440416,0.764895579,1.1374275,3.3850815,1.00064760513657,7111.2987431183,5233.14806454218
"true_peak_wait[1693]",1.883465214375,1.86054,0.598593419467885,0.64352253,0.95758305,2.916443,1.00070546751868,8539.66871312296,4840.02732093825
"true_peak_wait[1694]",2.7795690675,2.54517,1.03841496119583,0.918626373,1.4978875,4.8542365,1.0002413281711,9434.51850000112,5341.21451810306
"true_peak_wait[1695]",2.5153737125,2.298025,0.918322467018094,0.776949117,1.385879,4.3430825,1.00010572549848,11149.2781971518,6006.43202585915
"true_peak_wait[1696]",2.28223238275,2.300935,0.688059358386652,0.759743544,1.1121085,3.3755115,1.00104890408893,5139.86277267869,4711.82416020167
"true_peak_wait[1697]",1.8634233725,1.8357,0.600141687767507,0.638140692,0.93582665,2.9158815,1.00059753039549,8686.54554577096,5297.49967591071
"true_peak_wait[1698]",1.82756091914625,1.730445,0.836709961450584,0.931228473,0.62025695,3.3044365,1.00037221904324,10468.6980179115,5067.15003816679
"true_peak_wait[1699]",1.2498778553825,1.214705,0.703442513290955,0.840552657,0.187437,2.454793,1.00035048672072,11034.1323699619,4968.89500771638
"true_peak_wait[1700]",1.99333701575,2.06135,0.551775233321658,0.559347915,0.94356265,2.769815,1.00150414943526,7138.43070631736,4994.64689010739
"true_peak_wait[1701]",1.8134704307875,1.85605,0.559650777312333,0.599370702,0.81678205,2.6584925,1.00067337748831,6873.42245524639,4736.40049949781
